epoch,lr,batch_size,optimizer,train_loss,train_acc,test_acc
1,0.0001,16,adam,0.1886004076784578,0.9159369527145359,0.9838709677419355
2,0.0001,16,adam,0.0436273763403166,0.9859894921190894,1.0
3,0.0001,16,adam,0.027215701217996366,0.9912434325744308,1.0
4,0.0001,16,adam,0.027949044983687235,0.989492119089317,1.0
5,0.0001,16,adam,0.016443361546159208,0.9947460595446584,0.9919354838709677
6,0.0001,16,adam,0.010409135402028568,0.9982486865148862,0.9919354838709677
7,0.0001,16,adam,0.01042279888903918,0.9964973730297724,0.9919354838709677
8,0.0001,16,adam,0.0048375859141599345,1.0,0.9919354838709677
9,0.0001,16,adam,0.0017535873446038609,1.0,1.0
10,0.0001,16,adam,0.003664672655059961,1.0,1.0
1,0.0001,16,sgd,0.6297503426383966,0.6462346760070052,0.7983870967741935
2,0.0001,16,sgd,0.38152476101330823,0.8686514886164624,0.9435483870967742
3,0.0001,16,sgd,0.27824828073043123,0.9106830122591943,0.9758064516129032
4,0.0001,16,sgd,0.22930165940011654,0.9334500875656743,0.9919354838709677
5,0.0001,16,sgd,0.17427957251067755,0.957968476357268,0.9838709677419355
6,0.0001,16,sgd,0.1619410170356363,0.9527145359019265,0.9838709677419355
7,0.0001,16,sgd,0.14699012656971785,0.957968476357268,0.9919354838709677
8,0.0001,16,sgd,0.14654051417227176,0.9509632224168126,1.0
9,0.0001,16,sgd,0.10240915065367043,0.9702276707530648,0.9838709677419355
10,0.0001,16,sgd,0.0952734327801681,0.9719789842381786,0.9838709677419355
1,0.0001,32,adam,0.1825438400994719,0.9194395796847635,0.9919354838709677
2,0.0001,32,adam,0.02088573249464695,0.9964973730297724,0.9838709677419355
3,0.0001,32,adam,0.005048301881962112,1.0,0.9919354838709677
4,0.0001,32,adam,0.01247335406552002,0.9964973730297724,0.9919354838709677
5,0.0001,32,adam,0.0036527524531399748,1.0,0.9919354838709677
6,0.0001,32,adam,0.0019119293539052512,1.0,0.9919354838709677
7,0.0001,32,adam,0.0009281528157097632,1.0,0.9919354838709677
8,0.0001,32,adam,0.0010386049776417961,1.0,0.9919354838709677
9,0.0001,32,adam,0.000820999481621885,1.0,0.9919354838709677
10,0.0001,32,adam,0.0027164868176988146,1.0,0.9919354838709677
1,0.0001,32,sgd,0.5889934302420207,0.6637478108581436,0.6129032258064516
2,0.0001,32,sgd,0.44635418819462563,0.8213660245183888,0.8225806451612904
3,0.0001,32,sgd,0.35609162370503056,0.8791593695271454,0.8709677419354839
4,0.0001,32,sgd,0.28509611186233796,0.9229422066549913,0.9274193548387096
5,0.0001,32,sgd,0.24723726388347544,0.9404553415061296,0.9516129032258065
6,0.0001,32,sgd,0.23304119513038996,0.9387040280210157,0.967741935483871
7,0.0001,32,sgd,0.2008631960627494,0.9474605954465849,0.9838709677419355
8,0.0001,32,sgd,0.17476006971766778,0.9632224168126094,0.9758064516129032
9,0.0001,32,sgd,0.15946717228864413,0.9719789842381786,0.9838709677419355
10,0.0001,32,sgd,0.14892370317738027,0.9597197898423818,0.9838709677419355
1,0.0001,64,adam,0.27071713573330336,0.8669001751313485,0.9838709677419355
2,0.0001,64,adam,0.029435874209225492,0.9912434325744308,0.9838709677419355
3,0.0001,64,adam,0.014759491481157688,0.9929947460595446,0.9919354838709677
4,0.0001,64,adam,0.008303931283058301,0.9982486865148862,0.9919354838709677
5,0.0001,64,adam,0.0035097617841523057,1.0,1.0
6,0.0001,64,adam,0.0011420803050381733,1.0,1.0
7,0.0001,64,adam,0.00139983566752113,1.0,0.9919354838709677
8,0.0001,64,adam,0.0007087895962704893,1.0,0.9919354838709677
9,0.0001,64,adam,0.0008820972902636694,1.0,0.9919354838709677
10,0.0001,64,adam,0.0033123592063503244,0.9982486865148862,0.9919354838709677
1,0.0001,64,sgd,0.8245864011569115,0.4658493870402802,0.41935483870967744
2,0.0001,64,sgd,0.689546984778603,0.5901926444833625,0.6935483870967742
3,0.0001,64,sgd,0.5867668487353417,0.6970227670753065,0.7258064516129032
4,0.0001,64,sgd,0.45865466298238616,0.8283712784588442,0.7741935483870968
5,0.0001,64,sgd,0.40262134751588785,0.8371278458844134,0.8145161290322581
6,0.0001,64,sgd,0.34845388494105767,0.9001751313485113,0.8225806451612904
7,0.0001,64,sgd,0.2966911320406585,0.9159369527145359,0.8306451612903226
8,0.0001,64,sgd,0.26861089394931825,0.9229422066549913,0.8548387096774194
9,0.0001,64,sgd,0.2458159965829966,0.9387040280210157,0.8629032258064516
10,0.0001,64,sgd,0.22529145195793146,0.9544658493870403,0.8629032258064516
1,0.001,16,adam,0.43733479346160087,0.8598949211908932,0.9838709677419355
2,0.001,16,adam,0.09615269065842737,0.9649737302977233,1.0
3,0.001,16,adam,0.08736658546153697,0.9702276707530648,0.8306451612903226
4,0.001,16,adam,0.04415111307111029,0.9859894921190894,0.9838709677419355
5,0.001,16,adam,0.08703986106150101,0.9702276707530648,0.6612903225806451
6,0.001,16,adam,0.09735367453009569,0.9649737302977233,0.8387096774193549
7,0.001,16,adam,0.044599648795539966,0.9859894921190894,0.967741935483871
8,0.001,16,adam,0.0184731360597474,0.9929947460595446,0.9032258064516129
9,0.001,16,adam,0.010245117072718163,0.9982486865148862,0.9596774193548387
10,0.001,16,adam,0.011473344928860638,0.9947460595446584,0.5483870967741935
1,0.001,16,sgd,0.3558498364979248,0.8126094570928196,0.9838709677419355
2,0.001,16,sgd,0.09074341221639133,0.9754816112084063,0.9838709677419355
3,0.001,16,sgd,0.032231372857756665,0.9947460595446584,0.9919354838709677
4,0.001,16,sgd,0.027857299078575575,0.9912434325744308,0.9838709677419355
5,0.001,16,sgd,0.0281681884810061,0.9929947460595446,0.9838709677419355
6,0.001,16,sgd,0.016064114477191832,0.9964973730297724,0.9919354838709677
7,0.001,16,sgd,0.05755148832922746,0.9842381786339754,0.9919354838709677
8,0.001,16,sgd,0.012563047552197493,0.9982486865148862,0.9838709677419355
9,0.001,16,sgd,0.0178066601229737,0.9964973730297724,0.9919354838709677
10,0.001,16,sgd,0.012645565507417274,0.9964973730297724,0.9919354838709677
1,0.001,32,adam,0.34518092704346426,0.8896672504378283,0.782258064516129
2,0.001,32,adam,0.12775875979972492,0.9562171628721541,0.967741935483871
3,0.001,32,adam,0.03350230702729129,0.9912434325744308,0.9516129032258065
4,0.001,32,adam,0.0178765313048038,0.9947460595446584,0.9838709677419355
5,0.001,32,adam,0.020920886098686118,0.9947460595446584,0.6532258064516129
6,0.001,32,adam,0.0056856784488615985,0.9982486865148862,0.9919354838709677
7,0.001,32,adam,0.0020602657253757746,1.0,0.9274193548387096
8,0.001,32,adam,0.0026815896144558003,1.0,0.9516129032258065
9,0.001,32,adam,0.0057609803079621946,0.9964973730297724,0.6048387096774194
10,0.001,32,adam,0.029609007406921694,0.9964973730297724,0.6290322580645161
1,0.001,32,sgd,0.5144329202571809,0.7495621716287215,0.9274193548387096
2,0.001,32,sgd,0.1250139473694427,0.9597197898423818,0.9838709677419355
3,0.001,32,sgd,0.06567169360216257,0.9859894921190894,0.9838709677419355
4,0.001,32,sgd,0.04143450045126332,0.9912434325744308,0.9838709677419355
5,0.001,32,sgd,0.033479109605457864,0.9929947460595446,0.9838709677419355
6,0.001,32,sgd,0.02260526639349015,0.9947460595446584,0.9838709677419355
7,0.001,32,sgd,0.017648602057013484,0.9982486865148862,0.9838709677419355
8,0.001,32,sgd,0.023530951727201245,0.9929947460595446,0.9838709677419355
9,0.001,32,sgd,0.0108587459551787,1.0,0.9838709677419355
10,0.001,32,sgd,0.00854458394028155,1.0,0.9919354838709677
1,0.001,64,adam,0.36962111364730393,0.8966725043782837,0.9112903225806451
2,0.001,64,adam,0.11081920913869153,0.9527145359019265,0.5887096774193549
3,0.001,64,adam,0.03419646216579265,0.9929947460595446,0.7580645161290323
4,0.001,64,adam,0.020152393066293305,0.9947460595446584,0.8225806451612904
5,0.001,64,adam,0.0206193679090648,0.9912434325744308,0.9596774193548387
6,0.001,64,adam,0.02874400325758862,0.9877408056042032,0.9838709677419355
7,0.001,64,adam,0.009095382205114395,0.9982486865148862,0.9838709677419355
8,0.001,64,adam,0.005243857145707421,0.9982486865148862,0.967741935483871
9,0.001,64,adam,0.0006988989758091586,1.0,0.9435483870967742
10,0.001,64,adam,0.0032348472097427413,0.9982486865148862,0.967741935483871
1,0.001,64,sgd,0.6356517567108475,0.6392294220665499,0.8709677419354839
2,0.001,64,sgd,0.26040295525837276,0.9229422066549913,0.9838709677419355
3,0.001,64,sgd,0.14449965447552776,0.9544658493870403,0.9919354838709677
4,0.001,64,sgd,0.07875289683166611,0.9772329246935202,0.9838709677419355
5,0.001,64,sgd,0.060121169101753504,0.9807355516637478,0.9838709677419355
6,0.001,64,sgd,0.03914253809366982,0.9964973730297724,0.9838709677419355
7,0.001,64,sgd,0.02824968650232472,1.0,0.9838709677419355
8,0.001,64,sgd,0.029950429347789017,0.9947460595446584,0.9838709677419355
9,0.001,64,sgd,0.022192993078987568,0.9982486865148862,0.9838709677419355
10,0.001,64,sgd,0.019080664956005983,1.0,0.9838709677419355
1,0.0005,16,adam,0.30845208769426036,0.8931698774080561,0.9112903225806451
2,0.0005,16,adam,0.1677432742276459,0.9562171628721541,0.8790322580645161
3,0.0005,16,adam,0.11443479237148306,0.9474605954465849,0.9838709677419355
4,0.0005,16,adam,0.05220138381566402,0.978984238178634,0.9838709677419355
5,0.0005,16,adam,0.007755697672383781,0.9982486865148862,0.9919354838709677
6,0.0005,16,adam,0.002893317522213594,1.0,0.9919354838709677
7,0.0005,16,adam,0.002275587302301733,1.0,0.9919354838709677
8,0.0005,16,adam,0.01784589517357614,0.9929947460595446,0.9838709677419355
9,0.0005,16,adam,0.06759851588174413,0.9842381786339754,0.967741935483871
10,0.0005,16,adam,0.026984518442805302,0.9912434325744308,0.9596774193548387
1,0.0005,16,sgd,0.43996795803151906,0.7758318739054291,0.9516129032258065
2,0.0005,16,sgd,0.12948517415235422,0.9649737302977233,0.9758064516129032
3,0.0005,16,sgd,0.08418922571892705,0.9772329246935202,0.9838709677419355
4,0.0005,16,sgd,0.09105633490192076,0.968476357267951,0.9838709677419355
5,0.0005,16,sgd,0.048977182003720005,0.989492119089317,0.9919354838709677
6,0.0005,16,sgd,0.03152424296700182,0.9947460595446584,0.9838709677419355
7,0.0005,16,sgd,0.030056603510591695,0.9947460595446584,0.9838709677419355
8,0.0005,16,sgd,0.029354312380485484,0.9964973730297724,0.9838709677419355
9,0.0005,16,sgd,0.02889395087807327,0.9912434325744308,0.9838709677419355
10,0.0005,16,sgd,0.03940754580750226,0.9947460595446584,0.9758064516129032
1,0.0005,32,adam,0.19017170719319593,0.9334500875656743,0.9354838709677419
2,0.0005,32,adam,0.07487862903278993,0.978984238178634,0.9516129032258065
3,0.0005,32,adam,0.0349566710210893,0.9877408056042032,0.967741935483871
4,0.0005,32,adam,0.01087938540292196,0.9947460595446584,0.9435483870967742
5,0.0005,32,adam,0.004749356077465306,1.0,0.9596774193548387
6,0.0005,32,adam,0.0021499440570617984,1.0,0.9516129032258065
7,0.0005,32,adam,0.006781963554444199,0.9964973730297724,1.0
8,0.0005,32,adam,0.031672537670146196,0.989492119089317,0.6612903225806451
9,0.0005,32,adam,0.039475398379864884,0.9842381786339754,0.9758064516129032
10,0.0005,32,adam,0.09274309755453021,0.9754816112084063,0.9919354838709677
1,0.0005,32,sgd,0.539849882368031,0.7267950963222417,0.9516129032258065
2,0.0005,32,sgd,0.21365019146698785,0.9299474605954466,0.9758064516129032
3,0.0005,32,sgd,0.12243034098225591,0.9737302977232924,0.9838709677419355
4,0.0005,32,sgd,0.10820501824863737,0.9614711033274956,0.9838709677419355
5,0.0005,32,sgd,0.07834073400121645,0.9807355516637478,0.9838709677419355
6,0.0005,32,sgd,0.07150554010439045,0.9859894921190894,0.9838709677419355
7,0.0005,32,sgd,0.0477099856802127,0.9912434325744308,0.9838709677419355
8,0.0005,32,sgd,0.046476971749509904,0.9929947460595446,0.9838709677419355
9,0.0005,32,sgd,0.027560641339958863,0.9964973730297724,0.9838709677419355
10,0.0005,32,sgd,0.026456517834483845,0.9964973730297724,0.9838709677419355
1,0.0005,64,adam,0.20574917112870203,0.9054290718038529,0.9758064516129032
2,0.0005,64,adam,0.04897235415634518,0.9877408056042032,0.9758064516129032
3,0.0005,64,adam,0.02621446787310363,0.9929947460595446,0.9516129032258065
4,0.0005,64,adam,0.013734374620222638,0.9947460595446584,0.967741935483871
5,0.0005,64,adam,0.037363988087201025,0.9929947460595446,0.8709677419354839
6,0.0005,64,adam,0.0325848502425017,0.9877408056042032,0.9919354838709677
7,0.0005,64,adam,0.026450491162105065,0.9877408056042032,0.9838709677419355
8,0.0005,64,adam,0.006839132782124022,1.0,0.9274193548387096
9,0.0005,64,adam,0.007288162803002951,0.9964973730297724,0.9516129032258065
10,0.0005,64,adam,0.0074590095329047845,0.9964973730297724,0.9193548387096774
1,0.0005,64,sgd,0.6688945934359122,0.6024518388791593,0.717741935483871
2,0.0005,64,sgd,0.38571432081496443,0.8844133099824869,0.9435483870967742
3,0.0005,64,sgd,0.23241427261545444,0.9352014010507881,0.9596774193548387
4,0.0005,64,sgd,0.1593046147643789,0.9527145359019265,0.9758064516129032
5,0.0005,64,sgd,0.12983429024808252,0.9667250437828371,0.967741935483871
6,0.0005,64,sgd,0.10135272955570872,0.9772329246935202,0.9758064516129032
7,0.0005,64,sgd,0.07814627974546937,0.9859894921190894,0.9758064516129032
8,0.0005,64,sgd,0.06517402476740385,0.989492119089317,0.9758064516129032
9,0.0005,64,sgd,0.05903618181231978,0.9947460595446584,0.9758064516129032
10,0.0005,64,sgd,0.05548861773518255,0.9877408056042032,0.9838709677419355
